N;THREADS;TIME;LOOP
1000000;3;0.03000;9
1000000;4;0.04000;0
1000000;4;0.04000;1
1000000;4;0.04000;2
1000000;4;0.03000;3
1000000;4;0.05000;4
1000000;4;0.03000;5
1000000;4;0.03000;6
1000000;4;0.04000;7
1000000;4;0.06000;8
1000000;4;0.04000;9
1000000;5;0.05000;0
1000000;5;0.04000;1
1000000;5;0.04000;2
1000000;5;0.05000;3
1000000;5;0.05000;4
1000000;5;0.04000;5
1000000;5;0.04000;6
1000000;5;0.03000;7
1000000;5;0.04000;8
1000000;5;0.04000;9
1000000;6;0.05000;0
1000000;6;0.04000;1
1000000;6;0.06000;2
1000000;6;0.05000;3
1000000;6;0.04000;4
1000000;6;0.03000;5
1000000;6;0.07000;6
1000000;6;0.08000;7
1000000;6;0.04000;8
1000000;6;0.04000;9
1000000;7;0.04000;0
1000000;7;0.04000;1
1000000;7;0.04000;2
1000000;7;0.04000;3
1000000;7;0.05000;4
1000000;7;0.05000;5
1000000;7;0.04000;6
1000000;7;0.04000;7
1000000;7;0.05000;8
1000000;7;0.04000;9
1000000;8;0.05000;0
1000000;8;0.06000;1
1000000;8;0.08000;2
1000000;8;0.08000;3
1000000;8;0.05000;4
1000000;8;0.05000;5
1000000;8;0.04000;6
1000000;8;0.06000;7
1000000;8;0.04000;8
1000000;8;0.05000;9
1000000;9;0.04000;0
1000000;9;0.04000;1
1000000;9;0.03000;2
1000000;9;0.03000;3
1000000;9;0.03000;4
1000000;9;0.03000;5
1000000;9;0.03000;6
1000000;9;0.04000;7
1000000;9;0.04000;8
1000000;9;0.04000;9
1000000;10;0.04000;0
1000000;10;0.04000;1
1000000;10;0.03000;2
1000000;10;0.03000;3
1000000;10;0.04000;4
1000000;10;0.04000;5
1000000;10;0.04000;6
1000000;10;0.04000;7
1000000;10;0.04000;8
1000000;10;0.03000;9
10000000;1;0.27000;0
10000000;1;0.31000;1
10000000;1;0.27000;2
10000000;1;0.29000;3
10000000;1;0.31000;4
10000000;1;0.31000;5
10000000;1;0.24000;6
10000000;1;0.28000;7
10000000;1;0.33000;8
10000000;1;0.31000;9
10000000;2;0.24000;0
10000000;2;0.20000;1
10000000;2;0.23000;2
10000000;2;0.28000;3
10000000;2;0.27000;4
10000000;2;0.26000;5
10000000;2;0.22000;6
10000000;2;0.21000;7
10000000;2;0.17000;8
10000000;2;0.19000;9
10000000;3;0.26000;0
10000000;3;0.26000;1
10000000;3;0.25000;2
10000000;3;0.22000;3
10000000;3;0.29000;4
10000000;3;0.24000;5
10000000;3;0.23000;6
10000000;3;0.23000;7
10000000;3;0.26000;8
10000000;3;0.26000;9
10000000;4;0.28000;0
10000000;4;0.29000;1
10000000;4;0.22000;2
10000000;4;0.26000;3
10000000;4;0.26000;4
10000000;4;0.26000;5
10000000;4;0.27000;6
10000000;4;0.25000;7
10000000;4;0.25000;8
10000000;4;0.23000;9
10000000;5;0.26000;0
10000000;5;0.23000;1
10000000;5;0.23000;2
10000000;5;0.21000;3
10000000;5;0.27000;4
10000000;5;0.36000;5
10000000;5;0.27000;6
10000000;5;0.27000;7
10000000;5;0.26000;8
10000000;5;0.27000;9
10000000;6;0.20000;0
10000000;6;0.23000;1
10000000;6;0.36000;2
10000000;6;0.33000;3
10000000;6;0.30000;4
10000000;6;0.26000;5
10000000;6;0.26000;6
10000000;6;0.26000;7
10000000;6;0.26000;8
10000000;6;0.26000;9
10000000;7;0.26000;0
10000000;7;0.28000;1
10000000;7;0.33000;2
10000000;7;0.30000;3
10000000;7;0.24000;4
10000000;7;0.33000;5
10000000;7;0.25000;6
10000000;7;0.25000;7
10000000;7;0.27000;8
10000000;7;0.26000;9
10000000;8;0.30000;0
10000000;8;0.27000;1
10000000;8;0.28000;2
10000000;8;0.29000;3
10000000;8;0.29000;4
10000000;8;0.28000;5
10000000;8;0.26000;6
10000000;8;0.28000;7
10000000;8;0.27000;8
