1;1;7.4980300;1000000
0;2;4.5690500;1000000
1;2;4.5671500;1000000
0;3;3.0381700;1000000
1;3;2.4368800;1000000
2;3;2.9661700;1000000
0;4;2.3241000;1000000
1;4;2.2869100;1000000
2;4;2.2790400;1000000
3;4;2.2568700;1000000
0;5;2.0260800;1000000
1;5;1.8460800;1000000
2;5;2.0949800;1000000
3;5;1.8389200;1000000
4;5;1.9481200;1000000
0;6;1.7190000;1000000
1;6;1.6119500;1000000
2;6;1.9288100;1000000
3;6;1.5981200;1000000
4;6;1.9540800;1000000
5;6;1.6241100;1000000
0;7;1.4700900;1000000
1;7;1.5211100;1000000
2;7;1.1949500;1000000
3;7;1.1639600;1000000
4;7;1.1818400;1000000
5;7;1.1479900;1000000
6;7;1.1789800;1000000
0;8;1.4410000;1000000
1;8;1.0459400;1000000
2;8;1.0299700;1000000
3;8;1.0490400;1000000
4;8;1.0380700;1000000
5;8;1.0480900;1000000
6;8;1.0309200;1000000
7;8;1.0509500;1000000
0;9;1.8358200;1000000
1;9;1.2619500;1000000
2;9;0.9760900;1000000
3;9;1.1498900;1000000
4;9;0.9510500;1000000
5;9;0.9470000;1000000
6;9;0.9450900;1000000
7;9;0.9658300;1000000
8;9;0.9491400;1000000
0;10;1.3268000;1000000
1;10;1.6200500;1000000
2;10;0.8561600;1000000
3;10;0.8978800;1000000
4;10;0.8618800;1000000
5;10;0.9009800;1000000
6;10;0.8578300;1000000
7;10;0.8831000;1000000
8;10;0.9160000;1000000
9;10;0.8921600;1000000
0;11;1.9300000;1000000
1;11;0.8409000;1000000
2;11;0.9179100;1000000
3;11;0.8790500;1000000
4;11;0.9160000;1000000
5;11;0.8220700;1000000
6;11;0.8518700;1000000
7;11;0.8220700;1000000
8;11;0.8149100;1000000
9;11;0.8220700;1000000
10;11;0.8139600;1000000
0;12;3.2329600;1000000
1;12;0.8230200;1000000
2;12;0.7829700;1000000
3;12;0.7488700;1000000
4;12;0.7231200;1000000
5;12;0.8359000;1000000
6;12;0.7398100;1000000
7;12;0.7381400;1000000
8;12;0.7951300;1000000
9;12;0.8039500;1000000
10;12;0.7398100;1000000
11;12;0.7350400;1000000
0;13;0.7622200;1000000
1;13;0.6918900;1000000
2;13;0.9319800;1000000
3;13;1.1298700;1000000
4;13;0.7100100;1000000
5;13;0.7038100;1000000
6;13;1.1580000;1000000
7;13;0.7889300;1000000
8;13;1.1680100;1000000
9;13;1.2688600;1000000
10;13;1.1019700;1000000
11;13;0.7121600;1000000
12;13;0.7062000;1000000
0;14;1.1708700;1000000
1;14;0.6630400;1000000
2;14;0.6330000;1000000
3;14;0.7100100;1000000
4;14;0.7510200;1000000
5;14;0.6399200;1000000
6;14;1.0440300;1000000
7;14;1.2259500;1000000
8;14;0.6392000;1000000
9;14;1.2660000;1000000
10;14;0.9141000;1000000
11;14;0.6389600;1000000
12;14;0.6411100;1000000
13;14;0.8318400;1000000
0;15;1.0500000;1000000
1;15;0.6089200;1000000
2;15;0.6079700;1000000
3;15;0.6051100;1000000
4;15;0.6899800;1000000
5;15;0.6148800;1000000
6;15;0.6141700;1000000
7;15;0.6120200;1000000
8;15;0.6139300;1000000
9;15;0.5970000;1000000
10;15;0.5960500;1000000
11;15;0.5970000;1000000
12;15;0.5891300;1000000
13;15;0.5970000;1000000
14;15;0.5929500;1000000
0;16;1.0869500;1000000
1;16;0.5729200;1000000
2;16;0.6020100;1000000
3;16;0.5669600;1000000
4;16;0.5850800;1000000
5;16;0.5650500;1000000
6;16;0.5798300;1000000
7;16;0.5610000;1000000
8;16;0.5931900;1000000
9;16;0.5660100;1000000
10;16;0.5810300;1000000
11;16;0.5660100;1000000
12;16;0.5500300;1000000
13;16;0.5710100;1000000
14;16;0.5519400;1000000
15;16;0.5548000;1000000
0;17;1.4231200;1000000
1;17;0.5350100;1000000
2;17;0.5691100;1000000
3;17;0.5319100;1000000
4;17;0.5672000;1000000
5;17;0.5271400;1000000
6;17;0.5438300;1000000
7;17;0.5400200;1000000
8;17;0.5440700;1000000
